"No.","Time","Source","Destination","Protocol","Length","Info"
"86","41","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=3281 Ack=1 Win=65536 Len=80 TSval=117273941 TSecr=117272941 [TCP segment of a reassembled PDU]"
"87","41","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=3361 Win=65408 Len=0 TSval=117273941 TSecr=117273941"
"88","42","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=3361 Ack=1 Win=65536 Len=80 TSval=117274942 TSecr=117273941 [TCP segment of a reassembled PDU]"
"89","42","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=3441 Win=65408 Len=0 TSval=117274942 TSecr=117274942"
"90","43","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=3441 Ack=1 Win=65536 Len=80 TSval=117275942 TSecr=117274942 [TCP segment of a reassembled PDU]"
"91","43","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=3521 Win=65408 Len=0 TSval=117275942 TSecr=117275942"
"92","44","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=3521 Ack=1 Win=65536 Len=80 TSval=117276943 TSecr=117275942 [TCP segment of a reassembled PDU]"
"93","44","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=3601 Win=65408 Len=0 TSval=117276943 TSecr=117276943"
"94","45","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=3601 Ack=1 Win=65536 Len=80 TSval=117277943 TSecr=117276943 [TCP segment of a reassembled PDU]"
"95","45","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=3681 Win=65408 Len=0 TSval=117277943 TSecr=117277943"
"96","46","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=3681 Ack=1 Win=65536 Len=80 TSval=117278944 TSecr=117277943 [TCP segment of a reassembled PDU]"
"97","46","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=3761 Win=65408 Len=0 TSval=117278944 TSecr=117278944"
"98","47","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=3761 Ack=1 Win=65536 Len=80 TSval=117279944 TSecr=117278944 [TCP segment of a reassembled PDU]"
"99","47","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=3841 Win=65408 Len=0 TSval=117279944 TSecr=117279944"
"100","48","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=3841 Ack=1 Win=65536 Len=80 TSval=117280945 TSecr=117279944 [TCP segment of a reassembled PDU]"
"101","48","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=3921 Win=65408 Len=0 TSval=117280945 TSecr=117280945"
"102","49","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=3921 Ack=1 Win=65536 Len=80 TSval=117281946 TSecr=117280945 [TCP segment of a reassembled PDU]"
"103","49","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=4001 Win=65408 Len=0 TSval=117281946 TSecr=117281946"
"104","50","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=4001 Ack=1 Win=65536 Len=80 TSval=117282947 TSecr=117281946 [TCP segment of a reassembled PDU]"
"105","50","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=4081 Win=65408 Len=0 TSval=117282947 TSecr=117282947"
"106","51","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=4081 Ack=1 Win=65536 Len=80 TSval=117283948 TSecr=117282947 [TCP segment of a reassembled PDU]"
"107","51","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=4161 Win=65408 Len=0 TSval=117283948 TSecr=117283948"
"108","52","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=4161 Ack=1 Win=65536 Len=80 TSval=117284948 TSecr=117283948 [TCP segment of a reassembled PDU]"
"109","52","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=4241 Win=65408 Len=0 TSval=117284948 TSecr=117284948"
"110","53","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=4241 Ack=1 Win=65536 Len=80 TSval=117285949 TSecr=117284948 [TCP segment of a reassembled PDU]"
"111","53","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=4321 Win=65408 Len=0 TSval=117285949 TSecr=117285949"
"112","54","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=4321 Ack=1 Win=65536 Len=80 TSval=117286949 TSecr=117285949 [TCP segment of a reassembled PDU]"
